n,mergeSort,quickSort
879,0.0017111,0.0284726
880,0.001787,0.0293182
881,0.0017254,0.028343
882,0.001756,0.0290818
883,0.0017408,0.0297668
884,0.0017209,0.0287426
885,0.0017245,0.0288737
886,0.0017983,0.0293845
887,0.0017472,0.0297233
888,0.0017233,0.0296969
889,0.00173,0.0298094
890,0.0017439,0.029055
891,0.0017388,0.029265
892,0.0019068,0.0296097
893,0.0017458,0.0294513
894,0.0017619,0.029886
895,0.0018008,0.0310988
896,0.0018018,0.0309859
897,0.0017531,0.032272
898,0.0017727,0.0316549
899,0.0017481,0.0307851
900,0.0018006,0.0309467
901,0.0018248,0.0337334
902,0.0018822,0.0341208
903,0.0017814,0.0305948
904,0.0017525,0.0311473
905,0.0017489,0.0297343
906,0.0017813,0.0301583
907,0.001763,0.0314938
908,0.0017582,0.0303335
909,0.0018152,0.0305477
910,0.0018039,0.0314542
911,0.0017869,0.0347481
912,0.0030832,0.0342495
913,0.0017771,0.0341502
914,0.0018055,0.0303584
915,0.001947,0.0311885
916,0.0017966,0.0328604
917,0.0022329,0.0325408
918,0.0017888,0.0311621
919,0.0018569,0.0328011
920,0.0018478,0.0321851
921,0.0018969,0.0323811
922,0.0018736,0.0334524
923,0.0019254,0.0327586
924,0.0017923,0.0331698
925,0.001979,0.0321306
926,0.0017982,0.0316884
927,0.0017941,0.0316959
928,0.0018791,0.0322709
929,0.001853,0.0319891
930,0.0018846,0.0320914
931,0.0018565,0.0355113
932,0.0019366,0.0324753
933,0.001979,0.0319263
934,0.0018879,0.0352372
935,0.0018368,0.032999
936,0.0018327,0.0334621
937,0.0024456,0.0347487
938,0.0018748,0.0336706
939,0.0018957,0.0340311
940,0.0020092,0.0350296
941,0.0019379,0.0337829
942,0.0019264,0.0341829
943,0.0018625,0.0347881
944,0.0020112,0.0348065
945,0.0018699,0.0359445
946,0.0018593,0.0357501
947,0.0019471,0.0344024
948,0.0018642,0.036037
949,0.0018703,0.0345338
950,0.0018946,0.0343388
951,0.0018782,0.0352318
952,0.0020753,0.0347531
953,0.0019151,0.0367828
954,0.0019261,0.0352151
955,0.001892,0.0348116
956,0.001948,0.0350478
957,0.0019043,0.0356736
958,0.0018981,0.0383358
959,0.0028401,0.0392845
960,0.0027093,0.0408453
961,0.004283,0.036956
962,0.0041193,0.037767
963,0.0023007,0.0409548
964,0.0033095,0.0389451
965,0.0025029,0.0405456
966,0.0034208,0.0401099
967,0.0019133,0.0360958
968,0.0041232,0.0389832
969,0.0038943,0.0401555
970,0.002561,0.0410787
971,0.0044987,0.0398911
972,0.0037129,0.0385834
973,0.0036575,0.0386459
974,0.0034498,0.0370727
975,0.0032805,0.0385189
976,0.0028443,0.0375701
977,0.0040315,0.0427055
978,0.0025681,0.0390791
979,0.0028009,0.040349
980,0.003824,0.0405401
981,0.0027711,0.040051
982,0.0033375,0.0399453
983,0.003016,0.0392155
984,0.0031469,0.0423196
985,0.0038759,0.03974
986,0.0042988,0.0404198
987,0.0031048,0.0419022
988,0.0042205,0.0395216
989,0.0031994,0.0406003
990,0.0025294,0.0404236
991,0.0033931,0.0408351
992,0.0033314,0.0451676
993,0.0030463,0.0394324
994,0.0020115,0.0374212
995,0.0020043,0.0360875
