n,mergeSort,quickSort
959,0.0021129,0.0015047
960,0.0021085,0.0015486
961,0.0021568,0.0014241
962,0.0023524,0.0014594
963,0.0021656,0.0015444
964,0.0021984,0.0015248
965,0.0021301,0.0017831
966,0.0022061,0.0018763
967,0.0022209,0.0015917
968,0.0021387,0.0015727
969,0.0021358,0.0014701
970,0.0021451,0.0015193
971,0.0021576,0.0015084
972,0.0024353,0.0019044
973,0.0027872,0.001507
974,0.002221,0.0014511
975,0.0024169,0.0015086
976,0.0021663,0.0015498
977,0.0022703,0.0014688
978,0.0022098,0.0015493
979,0.0022758,0.0016144
980,0.0022471,0.0015178
981,0.0022366,0.0016208
982,0.0025079,0.0015016
983,0.0022796,0.0016137
984,0.002217,0.0014669
985,0.0022474,0.0016521
986,0.0022268,0.0015115
987,0.0022476,0.001561
988,0.0021919,0.0015905
989,0.0022294,0.0015395
990,0.002293,0.0015126
991,0.0021993,0.0016024
992,0.0022011,0.0015029
993,0.0022189,0.0015236
994,0.0022739,0.0015584
995,0.0022583,0.0015587
996,0.0023286,0.0016141
997,0.002292,0.0015943
998,0.0022226,0.001515
999,0.0022137,0.0016722
